post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47715460,Show HN: Hindsight Simulator – Go back in time and get rich,entertainment,10,3,pattle,2026-04-10 14:26:31,0.2727272727272727,False
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,55,25,vkatluri,2026-04-10 14:26:37,0.44642857142857145,False
47680124,IPv6 is the only way forward,worldnews,103,321,quaintdev,2026-04-10 14:26:49,3.0865384615384617,False
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,114,26,rryan,2026-04-10 14:26:59,0.22608695652173913,False
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,288,69,frasermarlow,2026-04-10 14:26:59,0.23875432525951557,True
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,125,19,ductionist,2026-04-10 14:27:05,0.15079365079365079,False
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,230,28,MediaSquirrel,2026-04-10 14:27:09,0.12121212121212122,True
47704260,Show HN: Zoneless – Open-source Stripe Connect clone with $0.002 fees using USDC,entertainment,14,6,tinyprojects,2026-04-10 14:27:09,0.4,False
47672778,Breaking the console: a brief history of video game security,sports,96,26,sprado,2026-04-10 14:27:12,0.26804123711340205,False
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,466,199,MattHart88,2026-04-10 14:27:16,0.4261241970021413,True
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,162,31,intofarlands,2026-04-10 14:27:17,0.1901840490797546,False
47705780,Show HN: BrokenClaw Part 5: GPT-5.4 Edition (Prompt Injection),entertainment,9,2,veganmosfet,2026-04-10 14:27:25,0.2,False
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,323,160,Bender,2026-04-10 14:27:31,0.49382716049382713,True
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,540,163,akyuu,2026-04-10 14:27:33,0.30129390018484287,True
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,307,192,keepamovin,2026-04-10 14:27:40,0.6233766233766234,True
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,100,17,Sean-Der,2026-04-10 14:27:42,0.16831683168316833,False
47654629,The Harvard Library Passport,sports,40,15,fi-le,2026-04-10 14:27:46,0.36585365853658536,False
47650502,Computational Physics (2nd Edition) (2025),science,184,23,teleforce,2026-04-10 14:27:49,0.12432432432432433,False
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,318,90,player_piano,2026-04-10 14:27:55,0.28213166144200624,True
47710319,BYD teams up with KFC to offer 9 minute EV charging,sports,10,1,breve,2026-04-10 14:28:04,0.09090909090909091,False
47709535,Lethal conflict after group fission in wild chimpanzees,sports,8,1,impish9208,2026-04-10 14:28:12,0.1111111111111111,False
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,56,0,tosh,2026-04-10 14:28:17,0.0,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-10 14:28:24,0.5470085470085471,False
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,57,18,zdw,2026-04-10 14:28:36,0.3103448275862069,False
47710608,FCC considers retroactive ban on foreign hardware,worldnews,6,4,topspin,2026-04-10 14:28:38,0.5714285714285714,False
47709123,How Iran's Information War Machine Operates Online,worldnews,6,0,mikhael,2026-04-10 14:28:40,0.0,False
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,32,12,brene,2026-04-10 14:28:48,0.36363636363636365,False
47683613,ICE acknowledges it is using powerful spyware,worldnews,68,8,dnemmers,2026-04-10 14:29:03,0.11594202898550725,False
47712641,White House Warns Staff Not to Place Bets on Prediction Markets Amid Iran War,worldnews,11,3,bookofjoe,2026-04-10 14:29:13,0.25,False
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,39,23,beardyw,2026-04-10 14:29:21,0.575,False
47710595,The Iran war depleted US weapons. Rebuilding will require China's cooperation,worldnews,11,0,n1b0m,2026-04-10 14:29:37,0.0,False
47704060,Not just spyware scandals: EU is funding the industry that spies on Europeans,worldnews,8,0,latexr,2026-04-10 14:29:47,0.0,False
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,16,4,f_allwein,2026-04-10 14:30:10,0.23529411764705882,False
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-10 14:30:19,0.0,False
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-10 14:30:35,0.3,False
